Team1,Team2,odd1,odd2,date,league
"Esteve Lobato, Eduard","Varillas, Juan Pablo",3.36,1.28,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
Frech M / Kawa K,Peschke K / Petkovic A,2.57,1.45,30 Sep 15:00,"WTA Wta Chicago 2, Usa Women Doubles"
"Ivashka, Ilya","Monfils, Gael",1.73,1.99,30 Sep 15:00,"ATP ATP Sofia, Bulgaria Men Singles"
"Lama, Gonzalo","Cerundolo, Juan Manuel",3.71,1.23,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Melzer, Gerald","Roca Batalla, Oriol",1.32,3.13,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Nikles, Johan","Olivo, Renzo",2.23,1.59,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Ugo Carabelli, Camilo","Lenz, Julian",1.25,3.59,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Mertens, Elise","Collins, Danielle",1.78,1.93,30 Sep 15:15,WTA Chicago 2 Singles Women
Beauge M / Bouquier A,Corwin F / Pozzi D,1.55,2.20,30 Sep 15:30,"ITFm ITF France F13, Men Doubles"
"Fassbender, Boris","Vankan, Marlon",1.73,1.92,30 Sep 15:30,"ITFm ITF France F13, Men Singles"
"Kudermetova, Veronika","Rybakina, Elena",2.74,1.40,30 Sep 15:30,WTA Chicago 2 Singles Women
"Pouille, Lucas","Gasquet, Richard",2.09,1.66,30 Sep 15:30,"Chall. ATP Challenger Orleans, France Men Singles"
"Sinner, Jannik","Gerasimov, Egor",1.18,4.33,30 Sep 16:20,"ATP ATP Sofia, Bulgaria Men Singles"
"Svitolina, Elina","Ruse, Elena-gabriela",1.13,5.23,30 Sep 16:30,WTA Chicago 2 Singles Women
"Teichmann, Jil","Vondrousova, Marketa",2.30,1.55,30 Sep 16:30,WTA Chicago 2 Singles Women
"Dimitrov, Grigor","Auger-Aliassime, Felix",2.78,1.39,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Murray, Andy","Ruud, Casper",2.29,1.56,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
Salisbury J / Skupski N,Nakashima B / Verbeek S,1.27,3.41,30 Sep 17:00,"ATP Atp San Diego, Usa Men Doubles"
"Shapovalov, Denis","Fritz, Taylor",1.57,2.26,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Sonego, Lorenzo","Korda, Sebastian",2.24,1.58,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Bencic, Belinda","Martincova, Tereza",1.25,3.61,30 Sep 17:45,WTA Chicago 2 Singles Women
"Vesely, Jiri","Tabilo, Alejandro",1.43,2.63,30 Sep 18:10,"Chall. ATP Challenger Orleans, France Men Singles"
Cornea V V / Tsitsipas P,Ignatik U / Ionel N D,1.65,2.11,01 Oct 07:00,"Chall. ATP Challenger Sibiu, Romania Men Double"
"Kuhn, Nicola","Cobolli, Flavio",2.42,1.50,01 Oct 08:00,"Chall. ATP Challenger Murcia, Spain Men Singles"
"Zekic, Miljan","Griekspoor, Tallon",3.13,1.32,01 Oct 08:00,"Chall. ATP Challenger Murcia, Spain Men Singles"
Daniel T / Popko D,Faria J / Faria L,1.81,1.89,01 Oct 09:00,"Chall. ATP Challenger Lisbon, Portugal Men Double"
"Martin, Andrej","Milojevic, Nikola",2.75,1.40,01 Oct 09:00,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
