Team1,Team2,odd1,odd2,league,date
21:30,"Becerra, A M / Torres, Murcia M C","Ng, T / Ulyashchenko, A",4.48,1.15,"Tennis - ITF Women, Cancun, Doubles W-Itf-Mex-02A ",Tue 28.09
18:30,"Gomez Pezuela Cano, Marian","Fontenel, Chelsea",7.12,1.05,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Tue 28.09
18:30,"James, Akilah","Sewing, Sofia",4.20,1.17,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Tue 28.09
18:30,"Wijesundera, Rushri","Kolodynska, Jana",4.81,1.13,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Tue 28.09
20:00,"Portillo Ramirez, Maria Jose","Gillan, Alice",1.20,3.85,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Tue 28.09
15:00,"Rosca, Christina","Monroy, Yuliana",1.09,5.70,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Wed 29.09
15:00,"NG, Taylor","Snells, Jamilah",1.08,5.99,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Wed 29.09
15:00,"Inoue, Hina","Rodriguez, Victoria",3.66,1.22,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Wed 29.09
15:00,"Stampfli, Breana","Kwong, Louise",2.68,1.39,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Wed 29.09
15:00,"Weedon, Kirsten-Andrea","Rogers, Anna Sinclair",4.48,1.15,"Tennis - ITF Women, Cancun, Singles W-Itf-Mex-02A ",Wed 29.09
15:30,"Salden, L / Thombare, P G","Jorge, F / Jorge, M",1.48,2.40,"Tennis - ITF Women, Lisbon, Doubles W-Itf-Por-16A ",Tue 28.09
15:00,"Evans, Kailey","Hovde, Liv",4.20,1.17,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Tue 28.09
15:00,"Kingsley, Raveena","Pielet, Gianna",1.21,3.75,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Tue 28.09
15:00,"Miyamoto, Ayumi","Barad Itzhaki, Tamara",1.33,2.93,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Tue 28.09
15:00,"Krywoj, Melany Solange","Orpana, Oona",2.84,1.35,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Tue 28.09
15:00,"Fiquet, Tiphanie","Collins, Kylie",1.58,2.17,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Wed 29.09
15:00,"Reami, Adriana","Shcherbinina, Alina",1.43,2.54,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Wed 29.09
15:00,"Kanapatskaya, Viktoriya","Morlet, Giulia",1.60,2.14,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Wed 29.09
15:00,"Vehvilainen, Lii.","Zhu, Amy",5.44,1.10,"Tennis - ITF Women, Lubbock, Tx, Singles W-Itf-USA-19A ",Wed 29.09
07:00,"Charaeva, Alina","Stevens, Lexie",1.09,5.70,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
07:00,"Mutavdzic, Matilda","Kruger, Isabella",1.30,3.09,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
07:00,"Bondarenko, Maria","Morvayova, Viktoria",1.35,2.84,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
07:00,"Anshba, Amina","Bhunu, Valeria",3.09,1.30,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
07:00,"Andrianjafitrimo, Tessah","Samir, Sandra",1.10,5.44,"Tennis - ITF Women, Pretoria, Singles W-Itf-Rsa-05A ",Wed 29.09
